class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y44,z45,x46,y46,z46
squat,0.659909487,0.19118087,-0.266471654,0.999971867,0.662839651,0.183766723,-0.251735479,0.999893188,0.665087044,0.184650183,-0.251743138,0.999895334,0.667420447,0.18559888,-0.251738816,0.999889135,0.656249225,0.183486581,-0.253976911,0.999925733,0.653948724,0.184298754,-0.254038304,0.999936581,0.651816487,0.185166657,-0.254080951,0.999945879,0.670530438,0.196881711,-0.152603924,0.999761045,0.646439552,0.196367398,-0.161281839,0.999903321,0.665199578,0.20907408,-0.228648141,0.999945283,0.654618502,0.207771003,-0.231418207,0.999958515,0.701649547,0.302417785,-0.075047962,0.999754488,0.612791955,0.302306443,-0.101579174,0.999972105,0.70433116,0.416815013,-0.016171169,0.938213706,0.599882543,0.419633538,-0.058335133,0.990469396,0.707474649,0.521906495,-0.096787237,0.74393326,0.590989649,0.520985007,-0.123617962,0.963329732,0.707268834,0.556792557,-0.117936775,0.623978019,0.590346694,0.555535913,-0.151170582,0.923125565,0.7041471,0.554683387,-0.150209814,0.642054439,0.594432771,0.553197622,-0.178922504,0.927705169,0.70155561,0.54305315,-0.111624911,0.623919606,0.596433938,0.54312855,-0.136293799,0.913288534,0.681172132,0.53599292,0.006980394,0.998908877,0.625370145,0.528805494,-0.007074396,0.999650121,0.694850922,0.714767039,0.031692777,0.99620986,0.613327026,0.715986907,-0.018015025,0.998435318,0.713401973,0.872530937,0.178363919,0.995855153,0.597314537,0.883386493,0.102994524,0.996484756,0.713260472,0.893217146,0.185201034,0.905962765,0.600626051,0.902603388,0.107858859,0.862537742,0.72086364,0.91721952,0.056577377,0.990483642,0.593325436,0.93478328,-0.024577638,0.990653932
squat,0.658872724,0.19134742,-0.291433662,0.999971926,0.662326336,0.183861092,-0.278198689,0.999893904,0.664809287,0.184681997,-0.278205454,0.999895573,0.667327702,0.18560113,-0.278212398,0.99988997,0.655157983,0.18382144,-0.278323054,0.999925435,0.652812362,0.184715003,-0.278388292,0.999935567,0.650640249,0.185645118,-0.27844277,0.999945223,0.670503378,0.196868107,-0.177183777,0.999760747,0.645689964,0.196493313,-0.176301509,0.999900997,0.664635062,0.208969429,-0.252092928,0.99994576,0.653632641,0.20774506,-0.252114594,0.999958396,0.701685071,0.302058637,-0.092999622,0.999763072,0.612792134,0.301527709,-0.108701065,0.999972463,0.704328418,0.416815072,-0.036407415,0.938372433,0.599848747,0.419491947,-0.061358888,0.990028083,0.70609951,0.520535767,-0.118872225,0.743258715,0.590549827,0.520983577,-0.127411321,0.961016834,0.706263006,0.555813074,-0.140827909,0.623908818,0.589096129,0.555082262,-0.154619813,0.918787539,0.703455091,0.554035068,-0.172615781,0.641866565,0.593522251,0.553054869,-0.184775025,0.923724473,0.701149881,0.542578399,-0.13302134,0.622441113,0.595767379,0.543032408,-0.141003385,0.908827424,0.680725038,0.534869194,0.006955098,0.99897176,0.6252653,0.528678834,-0.007057267,0.999667227,0.694921374,0.714367509,0.031811025,0.996096313,0.613733828,0.715708911,-0.015956186,0.998385131,0.714663625,0.871645331,0.180156514,0.995947361,0.597986579,0.883408666,0.114803515,0.996549785,0.713437438,0.892993689,0.18712844,0.906937242,0.601030588,0.902545273,0.120477103,0.865416288,0.724937022,0.917064667,0.056580745,0.990744174,0.593339264,0.934784353,-0.012525837,0.99093914
squat,0.658311129,0.193484753,-0.309013009,0.99997282,0.662097812,0.185217798,-0.295755327,0.999897659,0.664720714,0.185955361,-0.295757025,0.999899089,0.667321146,0.186800137,-0.295761883,0.999894083,0.654589057,0.185203046,-0.295740336,0.999927342,0.652217269,0.185989678,-0.295807868,0.999936759,0.65001452,0.186810508,-0.295861632,0.999946296,0.670570493,0.197636396,-0.192117363,0.999768734,0.645140409,0.196921244,-0.190677926,0.999902129,0.664415002,0.210809365,-0.268485099,0.999947965,0.653080821,0.209415674,-0.268389285,0.999959767,0.701716304,0.302057624,-0.104133055,0.999774635,0.612791419,0.301125646,-0.11507839,0.999972939,0.704667926,0.417803019,-0.04599037,0.940188468,0.599824011,0.41950053,-0.063650794,0.989751935,0.706195235,0.523080409,-0.130751312,0.749672413,0.59002769,0.521572053,-0.132724568,0.959773958,0.70662117,0.557461143,-0.153650075,0.631355703,0.588117182,0.555104613,-0.160038084,0.916324556,0.703762412,0.556250811,-0.186662793,0.649117172,0.592527807,0.553194165,-0.191900417,0.921544135,0.701691926,0.545877397,-0.145341009,0.628501356,0.59491533,0.543354154,-0.146899134,0.90634644,0.680722117,0.533214271,0.006522632,0.999022007,0.625271678,0.527873456,-0.006646695,0.999679327,0.695017099,0.714167356,0.029728647,0.995984435,0.614123642,0.714702547,-0.016021062,0.998305917,0.715203881,0.870874882,0.179003865,0.995984972,0.598821521,0.883486509,0.113472782,0.996534407,0.713493347,0.892253339,0.185858399,0.906254232,0.601483405,0.902726471,0.118830465,0.865964472,0.725170732,0.916782141,0.04996381,0.990877271,0.593799412,0.934822261,-0.014334138,0.991039157
squat,0.657846332,0.197208166,-0.331772357,0.999974608,0.661761999,0.187564313,-0.319031358,0.999904394,0.664488196,0.18807812,-0.319022954,0.999905705,0.667208791,0.188678801,-0.319021136,0.999901235,0.654109716,0.187760592,-0.318510115,0.999931574,0.651766896,0.188404337,-0.318579495,0.999940157,0.649576604,0.189067304,-0.318625063,0.999949098,0.67056936,0.198590234,-0.216477305,0.999784887,0.644746602,0.197869614,-0.212551981,0.999906123,0.664167404,0.213870868,-0.291535497,0.999951601,0.652699351,0.212451741,-0.290732682,0.99996233,0.701685309,0.302200049,-0.130804613,0.999791741,0.612775743,0.30153653,-0.131103769,0.999973595,0.706534982,0.420533746,-0.075504825,0.944668531,0.59960115,0.42142418,-0.079452142,0.989906132,0.709455788,0.530822515,-0.16288811,0.768863499,0.588149786,0.526776612,-0.154659435,0.961246967,0.711306691,0.562510788,-0.187390804,0.656499803,0.585911453,0.558863461,-0.182918534,0.918934584,0.707273245,0.56174767,-0.221485406,0.67336762,0.591144204,0.557321608,-0.215594411,0.924102187,0.70469445,0.55258584,-0.177681074,0.65267235,0.593601108,0.547827065,-0.169121653,0.90920943,0.680299163,0.531353772,0.002854601,0.999077857,0.625087738,0.527034163,-0.003017564,0.999688327,0.695036411,0.71342653,0.000339224,0.995946825,0.614135563,0.714450598,-0.010827743,0.998165607,0.715622306,0.869415343,0.14204672,0.99598819,0.599313676,0.883561373,0.126074851,0.996448338,0.713653564,0.890440285,0.148217857,0.90432626,0.601920009,0.902723968,0.132098347,0.866456866,0.725414634,0.916162014,0.010636514,0.990983367,0.593860447,0.934817672,-0.002179013,0.991007268
squat,0.657858849,0.203531027,-0.343339562,0.999976695,0.661713183,0.191395849,-0.330352724,0.999912322,0.664403021,0.191656724,-0.330342829,0.999913454,0.667119086,0.191997588,-0.330345541,0.999909461,0.654139519,0.191787973,-0.330868363,0.999936938,0.651799023,0.192263648,-0.330940306,0.999944687,0.649611056,0.192712292,-0.330973983,0.999952912,0.670544744,0.200054213,-0.224495292,0.999802768,0.644729674,0.199653119,-0.225903079,0.999912798,0.664087892,0.219550774,-0.30158329,0.999955654,0.652721763,0.218213275,-0.30228886,0.99996537,0.701650739,0.302226663,-0.133809507,0.9998101,0.612757564,0.302013129,-0.143185705,0.999974906,0.708685279,0.424949527,-0.080091104,0.949283957,0.599250138,0.42280224,-0.09565337,0.990366876,0.713780284,0.535840094,-0.17450799,0.789439797,0.587420821,0.530509949,-0.174878404,0.963777304,0.716061771,0.567152321,-0.201378614,0.68511039,0.584036827,0.562696517,-0.204641536,0.923868418,0.710346639,0.566510618,-0.236670256,0.700770736,0.590103745,0.56170702,-0.237646654,0.92879051,0.707310081,0.557572961,-0.189953059,0.680759072,0.592942119,0.551714957,-0.18923527,0.914501905,0.68023777,0.530676126,0.003068854,0.999142289,0.625160277,0.526958644,-0.003227249,0.999702454,0.695331991,0.713184118,-0.009097778,0.995959044,0.614278734,0.714453995,-0.01194711,0.99805516,0.716007113,0.868746042,0.122769132,0.99600482,0.599717736,0.883683622,0.124846026,0.996382773,0.713691831,0.889691174,0.127976924,0.904963672,0.602395356,0.903141022,0.130893677,0.866870224,0.72604239,0.916018069,-0.006908199,0.991085947,0.594056666,0.933929026,-0.004504671,0.990951359
squat,0.657488108,0.207563043,-0.355500489,0.999978662,0.661359072,0.194371775,-0.343296111,0.999919653,0.664063156,0.19450222,-0.343277067,0.999920666,0.666816831,0.194665492,-0.343286306,0.99991709,0.653924584,0.194533214,-0.343290806,0.999942005,0.651637733,0.19474797,-0.343366981,0.999949038,0.649491608,0.194922611,-0.343392551,0.999956548,0.670461297,0.201599538,-0.239379123,0.999819458,0.644563437,0.200590238,-0.238514274,0.999919176,0.663612247,0.223136485,-0.314330012,0.99995935,0.65235728,0.221445769,-0.314379364,0.999968171,0.701422453,0.30247876,-0.147669837,0.999826729,0.612493575,0.302637815,-0.15438202,0.999976337,0.710654378,0.426906079,-0.092639782,0.953633487,0.597881615,0.423006356,-0.106624842,0.990854979,0.717601955,0.537957311,-0.181870133,0.808182776,0.586579919,0.533689022,-0.183709681,0.966154933,0.719829679,0.568824112,-0.208019406,0.711031497,0.581381083,0.565984964,-0.212765172,0.928427875,0.71345222,0.567735136,-0.243238926,0.72560972,0.588692307,0.566466868,-0.245844603,0.933118761,0.710122943,0.559031785,-0.197159201,0.706288874,0.59213227,0.556229293,-0.198058829,0.919415355,0.679895878,0.530240953,0.002590177,0.999201775,0.625160575,0.526836574,-0.00275405,0.99971658,0.695456147,0.712089539,-0.017006699,0.995999992,0.614414334,0.714408815,-0.012300929,0.997967601,0.716214538,0.868571401,0.106395505,0.99603039,0.599960208,0.883574486,0.117226884,0.996320486,0.713695228,0.889603913,0.110859357,0.905764401,0.60319066,0.903139234,0.12184751,0.867630482,0.726623952,0.916129231,-0.023250241,0.991194189,0.59413147,0.932246208,-0.009384275,0.990890443
squat,0.657801747,0.207363978,-0.336738378,0.999980569,0.661419988,0.194892034,-0.318683565,0.999926865,0.664089084,0.195144996,-0.318662792,0.999927759,0.6668275,0.195419773,-0.318663299,0.9999246,0.653976083,0.194891363,-0.323219627,0.999947011,0.651648939,0.195144042,-0.323231369,0.999953389,0.649511218,0.195389956,-0.323129565,0.999960184,0.670461774,0.202276319,-0.208506316,0.999835789,0.644433558,0.20141536,-0.232693315,0.999925733,0.663922846,0.223815352,-0.29405728,0.999962986,0.652790606,0.222084746,-0.302175403,0.999970913,0.701156735,0.303269267,-0.139656112,0.999842823,0.612443805,0.30347237,-0.142479748,0.99997735,0.71339047,0.426403731,-0.078517869,0.957782209,0.595811069,0.423435092,-0.099725977,0.991169572,0.719791651,0.536943197,-0.159355462,0.826169133,0.585833728,0.535303473,-0.166730314,0.967961431,0.7227,0.568116724,-0.18317537,0.736773133,0.57981813,0.567275226,-0.195197418,0.931833208,0.715812802,0.566887736,-0.217199683,0.750193,0.587780595,0.568577766,-0.226599723,0.936357319,0.712172627,0.558045268,-0.1744546,0.731939852,0.591614842,0.558374584,-0.180571467,0.923081338,0.679733872,0.530276239,0.002705167,0.999257386,0.62557286,0.526950002,-0.002862797,0.999725282,0.695543289,0.71164757,-0.012445739,0.995967925,0.614626169,0.714046538,-0.014673213,0.997772515,0.716448426,0.868598282,0.105653942,0.995945811,0.600165665,0.88290298,0.107103214,0.996058822,0.713727415,0.889631391,0.109493695,0.90466845,0.603331983,0.902302027,0.111249998,0.864261031,0.727110445,0.916511178,-0.022924136,0.991073132,0.595326066,0.930476606,-0.017664615,0.990480006
squat,0.657460213,0.217837274,-0.390136868,0.999982178,0.661024749,0.203105822,-0.378399104,0.999932885,0.663726449,0.20282419,-0.378367007,0.99993372,0.666437447,0.202646762,-0.378385514,0.999930859,0.653718114,0.203363016,-0.378941953,0.999951243,0.651437998,0.20320344,-0.379027039,0.999957025,0.649340272,0.203092813,-0.379029155,0.999963224,0.670391321,0.206877053,-0.271693856,0.999849737,0.644168556,0.206907406,-0.273731977,0.999931216,0.663609505,0.232261851,-0.347431749,0.999966085,0.652645051,0.230761766,-0.348343074,0.999973297,0.701045036,0.304653615,-0.173684523,0.999857128,0.612358928,0.304778576,-0.180767268,0.999978721,0.717317402,0.426121175,-0.11694064,0.961709499,0.593324006,0.423717082,-0.131772056,0.991719604,0.723065734,0.536454082,-0.209027439,0.842479527,0.585439146,0.535466135,-0.211116478,0.970239818,0.724739254,0.566886485,-0.236945271,0.759981573,0.57954663,0.567194939,-0.241523832,0.936233997,0.718286633,0.564685225,-0.272481948,0.772366643,0.587964833,0.567691505,-0.274776846,0.940522313,0.714957237,0.556710839,-0.224366933,0.75511086,0.591699123,0.557581246,-0.22544606,0.927826405,0.679732919,0.530253887,0.002344621,0.999305248,0.625950694,0.527396262,-0.002500074,0.999735475,0.695818782,0.710834503,-0.018793212,0.995974958,0.614757478,0.714183569,-0.014366436,0.997662365,0.71667856,0.868635297,0.101504408,0.995909095,0.600445867,0.882838786,0.10685277,0.995923638,0.713882804,0.889693379,0.105763182,0.904347062,0.603723586,0.902218878,0.110995129,0.863518357,0.727257788,0.917014658,-0.027599216,0.991049826,0.596009672,0.930089593,-0.017723888,0.990237415
squat,0.657446146,0.217757285,-0.375530273,0.999983728,0.6609869,0.203412458,-0.371889889,0.999938726,0.663696527,0.203313187,-0.371902645,0.999939501,0.666412592,0.203292191,-0.371986091,0.999936938,0.653672755,0.203568503,-0.373528659,0.999955297,0.651398063,0.203533858,-0.373469651,0.999960542,0.649308443,0.203545406,-0.373096168,0.999966085,0.670458317,0.208051816,-0.266450942,0.999863207,0.644026697,0.208715379,-0.242951795,0.999936342,0.66363728,0.233344376,-0.331887782,0.999969125,0.652651846,0.231447384,-0.342312366,0.999975562,0.701057613,0.306929886,-0.148394704,0.999870598,0.612363458,0.306164175,-0.141750157,0.999979556,0.720884085,0.424144924,-0.089326203,0.965339422,0.591907382,0.422755003,-0.093634218,0.99210304,0.726723135,0.524606824,-0.188771814,0.857643187,0.585515022,0.531981587,-0.194991365,0.972139955,0.727710187,0.556974649,-0.218292862,0.782200694,0.579911113,0.563202381,-0.217897624,0.939849675,0.720398188,0.5528844,-0.25279668,0.793507397,0.588952959,0.561668158,-0.250041664,0.943924487,0.717455029,0.5441432,-0.203889132,0.777399957,0.592429101,0.551631689,-0.208277628,0.931708157,0.679762185,0.530434728,0.00081529,0.99935025,0.626521587,0.528449893,-0.000956178,0.999742091,0.696709335,0.710844994,-0.023800559,0.995945692,0.614891589,0.714425087,-0.014543958,0.997515261,0.716870129,0.868736088,0.100078978,0.99576962,0.600904882,0.882665336,0.105728686,0.995690882,0.714103341,0.889709115,0.104579151,0.901475251,0.603968203,0.901660383,0.10977833,0.861924529,0.727195024,0.917102277,-0.030235728,0.990849137,0.597329736,0.92990917,-0.019180525,0.989871085
squat,0.657270968,0.222582102,-0.296750605,0.999985099,0.66074872,0.208061412,-0.283131242,0.999943793,0.66350311,0.207856566,-0.283124864,0.999944448,0.666252911,0.207721904,-0.283127844,0.999942183,0.653460681,0.208497003,-0.282980591,0.999958813,0.651206195,0.208547324,-0.283005536,0.999963582,0.649127603,0.208685309,-0.28294754,0.999968588,0.670472264,0.211884364,-0.180110067,0.99987489,0.643922329,0.213919774,-0.174792886,0.999940753,0.663638473,0.238355249,-0.25676325,0.999971747,0.65262723,0.236418128,-0.257392943,0.999977529,0.701057732,0.308575541,-0.098406672,0.999882698,0.612466931,0.308815628,-0.090813145,0.999980152,0.723433495,0.418027788,-0.049535558,0.968593597,0.590452313,0.421887845,-0.040690653,0.992476761,0.727360606,0.506471992,-0.167517573,0.871316373,0.59098196,0.518545091,-0.1346986,0.973966837,0.728116333,0.538662791,-0.209700897,0.802310288,0.588995814,0.552021623,-0.165848628,0.943332255,0.720671475,0.532363534,-0.243238375,0.812619567,0.596691728,0.545997679,-0.194253355,0.947144568,0.717662334,0.521498501,-0.182117075,0.79748261,0.599152327,0.533651412,-0.147197291,0.935292065,0.680345118,0.531317353,-0.000737741,0.999390483,0.627309024,0.530561686,0.000623916,0.999748111,0.697779059,0.710841537,-0.030408705,0.996017873,0.614928842,0.71534884,-0.016734961,0.997472525,0.717061341,0.868874013,0.087836124,0.99575603,0.601386368,0.881631136,0.098536409,0.995656013,0.714107037,0.890349925,0.091627255,0.90050137,0.604164302,0.900230229,0.102064952,0.863768339,0.727262795,0.917222917,-0.043632179,0.990846276,0.597262025,0.927997589,-0.02668025,0.989874125
